customer_id,join_date,city_id,gender_id,city_name,gender_name,join_year,join_month,join_day,transaction_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,merchant_id,merchant_name,transaction_year,transaction_month,transaction_day,burn_year,burn_month,burn_day,time_between_transactions,time_to_burn,subscribed_duration
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,913,2024-03-29,subscribed,uFC-918,,3,8,Medina-Foster,2024,3,29,,,,25.0,,277.0
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,223,2024-04-10,subscribed,Mfx-161,,7,7,Berry-Anderson,2024,4,10,,,,12.0,,265.0
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,2889,2024-04-19,burned,OSt-071,2024-06-01,10,13,Thomas-Nelson,2024,4,19,2024.0,6.0,1.0,9.0,43.0,
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,4222,2024-05-24,burned,KcB-778,2024-07-23,4,15,Butler-Gomez,2024,5,24,2024.0,7.0,23.0,35.0,60.0,
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,4874,2024-05-30,subscribed,wqi-581,,9,13,Thomas-Nelson,2024,5,30,,,,6.0,,215.0
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,1806,2024-06-13,subscribed,hWf-606,,6,15,Butler-Gomez,2024,6,13,,,,14.0,,201.0
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,2448,2023-08-30,burned,JWq-795,2023-10-09,6,15,Butler-Gomez,2023,8,30,2023.0,10.0,9.0,0.0,40.0,
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,447,2023-12-14,burned,lvq-131,2024-02-11,8,20,Griffin-Leblanc,2023,12,14,2024.0,2.0,11.0,106.0,59.0,
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,3146,2024-01-11,subscribed,yRt-472,,6,15,Butler-Gomez,2024,1,11,,,,28.0,,355.0
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,2937,2024-03-04,subscribed,BNg-399,,6,15,Butler-Gomez,2024,3,4,,,,53.0,,302.0
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,4714,2024-05-01,burned,Xaq-718,2024-07-18,4,15,Butler-Gomez,2024,5,1,2024.0,7.0,18.0,58.0,78.0,
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,1109,2024-05-04,burned,CHG-925,2024-06-07,6,15,Butler-Gomez,2024,5,4,2024.0,6.0,7.0,3.0,34.0,
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,885,2024-05-06,burned,Bep-507,2024-06-16,8,20,Griffin-Leblanc,2024,5,6,2024.0,6.0,16.0,2.0,41.0,
10,2023-08-19,4,2,Shubra El-Kheima,Female,2023,8,19,126,2024-06-26,subscribed,zEe-332,,10,13,Thomas-Nelson,2024,6,26,,,,51.0,,188.0
11,2021-09-14,8,1,El-Mahalla El-Kubra,Male,2021,9,14,3716,2022-11-04,subscribed,TVl-084,,6,15,Butler-Gomez,2022,11,4,,,,0.0,,788.0
11,2021-09-14,8,1,El-Mahalla El-Kubra,Male,2021,9,14,4342,2023-03-01,subscribed,wTy-072,,3,8,Medina-Foster,2023,3,1,,,,117.0,,671.0
12,2023-03-03,3,1,Giza,Male,2023,3,3,3286,2023-05-15,subscribed,HaF-496,,2,18,Lewis LLC,2023,5,15,,,,0.0,,596.0
12,2023-03-03,3,1,Giza,Male,2023,3,3,729,2023-08-18,subscribed,FTW-078,,9,13,Thomas-Nelson,2023,8,18,,,,95.0,,501.0
12,2023-03-03,3,1,Giza,Male,2023,3,3,346,2023-11-26,burned,OZM-723,2024-02-02,10,13,Thomas-Nelson,2023,11,26,2024.0,2.0,2.0,100.0,68.0,
12,2023-03-03,3,1,Giza,Male,2023,3,3,2472,2024-01-02,subscribed,tYd-354,,6,15,Butler-Gomez,2024,1,2,,,,37.0,,364.0
12,2023-03-03,3,1,Giza,Male,2023,3,3,1128,2024-01-04,burned,ljP-385,2024-02-20,10,13,Thomas-Nelson,2024,1,4,2024.0,2.0,20.0,2.0,47.0,
12,2023-03-03,3,1,Giza,Male,2023,3,3,2702,2024-01-10,subscribed,iLf-107,,7,7,Berry-Anderson,2024,1,10,,,,6.0,,356.0
12,2023-03-03,3,1,Giza,Male,2023,3,3,593,2024-04-30,burned,ZDT-306,2024-06-26,10,13,Thomas-Nelson,2024,4,30,2024.0,6.0,26.0,111.0,57.0,
12,2023-03-03,3,1,Giza,Male,2023,3,3,664,2024-05-05,burned,AlG-326,2024-06-02,3,8,Medina-Foster,2024,5,5,2024.0,6.0,2.0,5.0,28.0,
12,2023-03-03,3,1,Giza,Male,2023,3,3,189,2024-05-27,subscribed,dwQ-592,,4,15,Butler-Gomez,2024,5,27,,,,22.0,,218.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,4322,2021-09-08,subscribed,WDX-679,,10,13,Thomas-Nelson,2021,9,8,,,,0.0,,1210.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,4205,2022-04-28,subscribed,RKo-667,,9,13,Thomas-Nelson,2022,4,28,,,,232.0,,978.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,2548,2022-07-29,burned,UrT-088,2022-08-21,8,20,Griffin-Leblanc,2022,7,29,2022.0,8.0,21.0,92.0,23.0,
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,2307,2022-12-24,burned,KBI-059,2023-01-06,9,13,Thomas-Nelson,2022,12,24,2023.0,1.0,6.0,148.0,13.0,
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,4928,2023-02-11,subscribed,MfF-142,,9,13,Thomas-Nelson,2023,2,11,,,,49.0,,689.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,2408,2023-04-02,burned,ZQL-064,2023-06-18,2,18,Lewis LLC,2023,4,2,2023.0,6.0,18.0,50.0,77.0,
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,1119,2023-07-17,burned,bkF-533,2023-09-09,8,20,Griffin-Leblanc,2023,7,17,2023.0,9.0,9.0,106.0,54.0,
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,2585,2023-08-27,subscribed,xjj-400,,3,8,Medina-Foster,2023,8,27,,,,41.0,,492.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,4539,2023-09-28,subscribed,fjq-715,,5,9,"Campbell, Shaffer and Martinez",2023,9,28,,,,32.0,,460.0
13,2021-08-02,2,2,Alexandria,Female,2021,8,2,830,2024-01-13,burned,IMo-886,2024-02-18,3,8,Medina-Foster,2024,1,13,2024.0,2.0,18.0,107.0,36.0,
14,2022-01-08,12,2,Fayyum,Female,2022,1,8,2456,2022-01-31,burned,tut-263,2022-01-31,1,11,"Smith, Lawson and Hernandez",2022,1,31,2022.0,1.0,31.0,0.0,0.0,
14,2022-01-08,12,2,Fayyum,Female,2022,1,8,100,2022-06-29,burned,lWH-583,2022-07-21,10,13,Thomas-Nelson,2022,6,29,2022.0,7.0,21.0,149.0,22.0,
14,2022-01-08,12,2,Fayyum,Female,2022,1,8,1131,2023-05-20,subscribed,fZc-783,,1,11,"Smith, Lawson and Hernandez",2023,5,20,,,,325.0,,591.0
14,2022-01-08,12,2,Fayyum,Female,2022,1,8,4144,2023-11-21,subscribed,nHR-063,,6,15,Butler-Gomez,2023,11,21,,,,185.0,,406.0
15,2021-07-26,6,1,Suez,Male,2021,7,26,2808,2022-06-06,subscribed,uFh-542,,5,9,"Campbell, Shaffer and Martinez",2022,6,6,,,,0.0,,939.0
16,2023-09-07,2,1,Alexandria,Male,2023,9,7,1774,2023-12-02,subscribed,wfp-920,,5,9,"Campbell, Shaffer and Martinez",2023,12,2,,,,0.0,,395.0
16,2023-09-07,2,1,Alexandria,Male,2023,9,7,1550,2024-02-09,subscribed,gqZ-033,,8,20,Griffin-Leblanc,2024,2,9,,,,69.0,,326.0
17,2022-07-08,1,2,Cairo,Female,2022,7,8,2964,2022-10-11,burned,QdY-825,2022-10-19,6,15,Butler-Gomez,2022,10,11,2022.0,10.0,19.0,0.0,8.0,
17,2022-07-08,1,2,Cairo,Female,2022,7,8,2655,2023-02-01,burned,nvS-559,2023-03-10,10,13,Thomas-Nelson,2023,2,1,2023.0,3.0,10.0,113.0,37.0,
17,2022-07-08,1,2,Cairo,Female,2022,7,8,3345,2023-05-11,burned,aKM-861,2023-06-18,6,15,Butler-Gomez,2023,5,11,2023.0,6.0,18.0,99.0,38.0,
17,2022-07-08,1,2,Cairo,Female,2022,7,8,925,2023-07-04,subscribed,vbr-743,,8,20,Griffin-Leblanc,2023,7,4,,,,54.0,,546.0
17,2022-07-08,1,2,Cairo,Female,2022,7,8,875,2023-08-31,burned,iWE-446,2023-09-07,4,15,Butler-Gomez,2023,8,31,2023.0,9.0,7.0,58.0,7.0,
17,2022-07-08,1,2,Cairo,Female,2022,7,8,3765,2024-01-11,burned,JwI-333,2024-04-03,1,11,"Smith, Lawson and Hernandez",2024,1,11,2024.0,4.0,3.0,133.0,83.0,
18,2024-03-11,12,2,Fayyum,Female,2024,3,11,3695,2024-05-27,burned,oMQ-451,2024-08-15,7,7,Berry-Anderson,2024,5,27,2024.0,8.0,15.0,0.0,80.0,
18,2024-03-11,12,2,Fayyum,Female,2024,3,11,4413,2024-06-03,subscribed,ZAR-176,,9,13,Thomas-Nelson,2024,6,3,,,,7.0,,211.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,2863,2023-05-03,subscribed,cbe-503,,8,20,Griffin-Leblanc,2023,5,3,,,,0.0,,608.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,1079,2023-05-27,subscribed,qga-529,,1,11,"Smith, Lawson and Hernandez",2023,5,27,,,,24.0,,584.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,3309,2023-06-24,subscribed,Cmt-169,,3,8,Medina-Foster,2023,6,24,,,,28.0,,556.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,1210,2023-08-26,subscribed,Xoc-671,,2,18,Lewis LLC,2023,8,26,,,,63.0,,493.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,4112,2024-01-10,subscribed,huV-890,,10,13,Thomas-Nelson,2024,1,10,,,,137.0,,356.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,3737,2024-01-12,burned,Lxx-583,2024-02-19,9,13,Thomas-Nelson,2024,1,12,2024.0,2.0,19.0,2.0,38.0,
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,292,2024-02-04,burned,Rrd-461,2024-02-13,9,13,Thomas-Nelson,2024,2,4,2024.0,2.0,13.0,23.0,9.0,
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,2338,2024-05-23,burned,BdA-976,2024-06-25,8,20,Griffin-Leblanc,2024,5,23,2024.0,6.0,25.0,109.0,33.0,
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,4934,2024-06-18,subscribed,mtH-010,,8,20,Griffin-Leblanc,2024,6,18,,,,26.0,,196.0
19,2022-11-26,12,1,Fayyum,Male,2022,11,26,1932,2024-07-07,burned,Rwr-728,2024-08-08,7,7,Berry-Anderson,2024,7,7,2024.0,8.0,8.0,19.0,32.0,
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,3383,2023-09-30,subscribed,ENe-902,,1,11,"Smith, Lawson and Hernandez",2023,9,30,,,,0.0,,458.0
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,175,2023-11-12,subscribed,jwa-955,,5,9,"Campbell, Shaffer and Martinez",2023,11,12,,,,43.0,,415.0
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,2244,2023-11-29,subscribed,yTi-056,,9,13,Thomas-Nelson,2023,11,29,,,,17.0,,398.0
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,1136,2024-03-01,subscribed,pQL-921,,8,20,Griffin-Leblanc,2024,3,1,,,,93.0,,305.0
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,1150,2024-05-08,subscribed,YDn-464,,10,13,Thomas-Nelson,2024,5,8,,,,68.0,,237.0
20,2023-07-19,17,2,Damanhur,Female,2023,7,19,1169,2024-06-03,subscribed,iCx-245,,9,13,Thomas-Nelson,2024,6,3,,,,26.0,,211.0
21,2021-11-28,10,1,Asyut,Male,2021,11,28,75,2022-11-08,subscribed,Sze-633,,6,15,Butler-Gomez,2022,11,8,,,,0.0,,784.0
21,2021-11-28,10,1,Asyut,Male,2021,11,28,3609,2023-02-10,subscribed,Piz-900,,4,15,Butler-Gomez,2023,2,10,,,,94.0,,690.0
21,2021-11-28,10,1,Asyut,Male,2021,11,28,869,2023-04-17,burned,bGP-580,2023-06-03,8,20,Griffin-Leblanc,2023,4,17,2023.0,6.0,3.0,66.0,47.0,
21,2021-11-28,10,1,Asyut,Male,2021,11,28,1369,2023-09-04,subscribed,dXi-667,,7,7,Berry-Anderson,2023,9,4,,,,140.0,,484.0
21,2021-11-28,10,1,Asyut,Male,2021,11,28,364,2024-07-01,subscribed,CDj-386,,4,15,Butler-Gomez,2024,7,1,,,,301.0,,183.0
22,2024-01-06,16,1,Minya,Male,2024,1,6,2315,2024-03-22,subscribed,HgQ-722,,2,18,Lewis LLC,2024,3,22,,,,0.0,,284.0
22,2024-01-06,16,1,Minya,Male,2024,1,6,3126,2024-03-26,burned,KTo-239,2024-04-19,10,13,Thomas-Nelson,2024,3,26,2024.0,4.0,19.0,4.0,24.0,
22,2024-01-06,16,1,Minya,Male,2024,1,6,3265,2024-04-28,subscribed,RnC-407,,6,15,Butler-Gomez,2024,4,28,,,,33.0,,247.0
22,2024-01-06,16,1,Minya,Male,2024,1,6,1418,2024-05-16,burned,lvd-850,2024-08-10,8,20,Griffin-Leblanc,2024,5,16,2024.0,8.0,10.0,18.0,86.0,
22,2024-01-06,16,1,Minya,Male,2024,1,6,4870,2024-05-18,subscribed,gWu-224,,2,18,Lewis LLC,2024,5,18,,,,2.0,,227.0
22,2024-01-06,16,1,Minya,Male,2024,1,6,2463,2024-06-04,burned,VhB-908,2024-07-23,9,13,Thomas-Nelson,2024,6,4,2024.0,7.0,23.0,17.0,49.0,
22,2024-01-06,16,1,Minya,Male,2024,1,6,3374,2024-07-03,burned,XYs-125,2024-08-17,3,8,Medina-Foster,2024,7,3,2024.0,8.0,17.0,29.0,45.0,
23,2023-03-23,15,1,Aswan,Male,2023,3,23,1080,2023-05-22,subscribed,ozv-484,,4,15,Butler-Gomez,2023,5,22,,,,0.0,,589.0
23,2023-03-23,15,1,Aswan,Male,2023,3,23,2059,2023-12-05,subscribed,UAw-450,,10,13,Thomas-Nelson,2023,12,5,,,,197.0,,392.0
23,2023-03-23,15,1,Aswan,Male,2023,3,23,2544,2024-01-01,subscribed,doe-870,,5,9,"Campbell, Shaffer and Martinez",2024,1,1,,,,27.0,,365.0
23,2023-03-23,15,1,Aswan,Male,2023,3,23,2444,2024-04-23,burned,Xyd-119,2024-06-27,7,7,Berry-Anderson,2024,4,23,2024.0,6.0,27.0,113.0,65.0,
24,2022-12-23,15,1,Aswan,Male,2022,12,23,37,2023-03-27,subscribed,WxX-376,,6,15,Butler-Gomez,2023,3,27,,,,0.0,,645.0
25,2022-12-12,19,1,Qena,Male,2022,12,12,3434,2023-02-12,subscribed,jDu-486,,2,18,Lewis LLC,2023,2,12,,,,0.0,,688.0
25,2022-12-12,19,1,Qena,Male,2022,12,12,3793,2023-06-11,burned,HOG-120,2023-08-01,10,13,Thomas-Nelson,2023,6,11,2023.0,8.0,1.0,119.0,51.0,
25,2022-12-12,19,1,Qena,Male,2022,12,12,2764,2023-06-29,subscribed,uut-710,,5,9,"Campbell, Shaffer and Martinez",2023,6,29,,,,18.0,,551.0
25,2022-12-12,19,1,Qena,Male,2022,12,12,2350,2023-07-27,burned,MFk-103,2023-09-21,9,13,Thomas-Nelson,2023,7,27,2023.0,9.0,21.0,28.0,56.0,
25,2022-12-12,19,1,Qena,Male,2022,12,12,4769,2024-04-13,burned,mHQ-492,2024-07-10,5,9,"Campbell, Shaffer and Martinez",2024,4,13,2024.0,7.0,10.0,261.0,88.0,
25,2022-12-12,19,1,Qena,Male,2022,12,12,716,2024-06-20,subscribed,eMA-560,,1,11,"Smith, Lawson and Hernandez",2024,6,20,,,,68.0,,194.0
26,2024-05-09,12,2,Fayyum,Female,2024,5,9,4912,2024-05-23,subscribed,gQJ-260,,9,13,Thomas-Nelson,2024,5,23,,,,0.0,,222.0
26,2024-05-09,12,2,Fayyum,Female,2024,5,9,1467,2024-06-04,subscribed,und-851,,4,15,Butler-Gomez,2024,6,4,,,,12.0,,210.0
26,2024-05-09,12,2,Fayyum,Female,2024,5,9,1819,2024-06-26,subscribed,BFh-723,,8,20,Griffin-Leblanc,2024,6,26,,,,22.0,,188.0
26,2024-05-09,12,2,Fayyum,Female,2024,5,9,2763,2024-06-30,subscribed,rjc-933,,7,7,Berry-Anderson,2024,6,30,,,,4.0,,184.0
26,2024-05-09,12,2,Fayyum,Female,2024,5,9,444,2024-07-08,burned,mJq-692,2024-07-09,2,18,Lewis LLC,2024,7,8,2024.0,7.0,9.0,8.0,1.0,
27,2023-02-22,20,2,Sohag,Female,2023,2,22,4052,2023-10-06,subscribed,sHH-131,,5,9,"Campbell, Shaffer and Martinez",2023,10,6,,,,0.0,,452.0
27,2023-02-22,20,2,Sohag,Female,2023,2,22,2422,2023-11-21,burned,juM-066,2023-12-27,5,9,"Campbell, Shaffer and Martinez",2023,11,21,2023.0,12.0,27.0,46.0,36.0,
28,2022-04-30,3,2,Giza,Female,2022,4,30,2614,2022-05-12,burned,qTc-122,2022-06-17,1,11,"Smith, Lawson and Hernandez",2022,5,12,2022.0,6.0,17.0,0.0,36.0,
28,2022-04-30,3,2,Giza,Female,2022,4,30,1400,2022-09-04,burned,hwO-308,2022-10-09,4,15,Butler-Gomez,2022,9,4,2022.0,10.0,9.0,115.0,35.0,
28,2022-04-30,3,2,Giza,Female,2022,4,30,111,2023-10-08,burned,QlC-155,2023-10-31,5,9,"Campbell, Shaffer and Martinez",2023,10,8,2023.0,10.0,31.0,399.0,23.0,
28,2022-04-30,3,2,Giza,Female,2022,4,30,4643,2024-05-01,burned,aif-032,2024-06-16,4,15,Butler-Gomez,2024,5,1,2024.0,6.0,16.0,206.0,46.0,
29,2024-02-08,5,2,Port Said,Female,2024,2,8,4223,2024-03-17,burned,yLF-494,2024-04-26,6,15,Butler-Gomez,2024,3,17,2024.0,4.0,26.0,0.0,40.0,
29,2024-02-08,5,2,Port Said,Female,2024,2,8,883,2024-04-25,burned,kYF-001,2024-05-08,1,11,"Smith, Lawson and Hernandez",2024,4,25,2024.0,5.0,8.0,39.0,13.0,
29,2024-02-08,5,2,Port Said,Female,2024,2,8,3333,2024-05-17,burned,kWM-660,2024-07-15,3,8,Medina-Foster,2024,5,17,2024.0,7.0,15.0,22.0,59.0,
30,2021-11-20,19,1,Qena,Male,2021,11,20,2047,2021-12-20,burned,tNW-298,2022-02-09,7,7,Berry-Anderson,2021,12,20,2022.0,2.0,9.0,0.0,51.0,
30,2021-11-20,19,1,Qena,Male,2021,11,20,2464,2022-07-30,subscribed,MCt-049,,8,20,Griffin-Leblanc,2022,7,30,,,,222.0,,885.0
30,2021-11-20,19,1,Qena,Male,2021,11,20,4823,2022-11-21,burned,HWz-319,2023-01-07,10,13,Thomas-Nelson,2022,11,21,2023.0,1.0,7.0,114.0,47.0,
30,2021-11-20,19,1,Qena,Male,2021,11,20,1082,2023-01-06,subscribed,SoX-559,,10,13,Thomas-Nelson,2023,1,6,,,,46.0,,725.0
31,2023-01-09,7,1,Mansoura,Male,2023,1,9,2590,2023-02-18,burned,Zgz-696,2023-04-22,4,15,Butler-Gomez,2023,2,18,2023.0,4.0,22.0,0.0,63.0,
31,2023-01-09,7,1,Mansoura,Male,2023,1,9,2441,2023-11-21,subscribed,ANN-708,,5,9,"Campbell, Shaffer and Martinez",2023,11,21,,,,276.0,,406.0
31,2023-01-09,7,1,Mansoura,Male,2023,1,9,4340,2024-03-03,subscribed,iDj-906,,5,9,"Campbell, Shaffer and Martinez",2024,3,3,,,,103.0,,303.0
31,2023-01-09,7,1,Mansoura,Male,2023,1,9,2108,2024-06-13,subscribed,uVK-481,,6,15,Butler-Gomez,2024,6,13,,,,102.0,,201.0
32,2023-11-30,9,1,Tanta,Male,2023,11,30,3137,2024-02-29,subscribed,dKk-029,,1,11,"Smith, Lawson and Hernandez",2024,2,29,,,,0.0,,306.0
32,2023-11-30,9,1,Tanta,Male,2023,11,30,4392,2024-06-01,burned,IuA-411,2024-06-24,1,11,"Smith, Lawson and Hernandez",2024,6,1,2024.0,6.0,24.0,93.0,23.0,
32,2023-11-30,9,1,Tanta,Male,2023,11,30,1443,2024-07-08,subscribed,gpP-889,,2,18,Lewis LLC,2024,7,8,,,,37.0,,176.0
33,2024-02-08,7,1,Mansoura,Male,2024,2,8,3304,2024-02-12,burned,zyS-454,2024-03-17,5,9,"Campbell, Shaffer and Martinez",2024,2,12,2024.0,3.0,17.0,0.0,34.0,
33,2024-02-08,7,1,Mansoura,Male,2024,2,8,2695,2024-02-26,burned,BNB-430,2024-05-08,5,9,"Campbell, Shaffer and Martinez",2024,2,26,2024.0,5.0,8.0,14.0,72.0,
35,2024-06-24,4,1,Shubra El-Kheima,Male,2024,6,24,180,2024-06-24,subscribed,Bie-681,,10,13,Thomas-Nelson,2024,6,24,,,,0.0,,190.0
35,2024-06-24,4,1,Shubra El-Kheima,Male,2024,6,24,1781,2024-07-05,burned,Kas-849,2024-07-31,3,8,Medina-Foster,2024,7,5,2024.0,7.0,31.0,11.0,26.0,
35,2024-06-24,4,1,Shubra El-Kheima,Male,2024,6,24,2145,2024-07-07,subscribed,IgQ-130,,3,8,Medina-Foster,2024,7,7,,,,2.0,,177.0
35,2024-06-24,4,1,Shubra El-Kheima,Male,2024,6,24,1800,2024-07-13,burned,EmS-501,2024-09-02,9,13,Thomas-Nelson,2024,7,13,2024.0,9.0,2.0,6.0,51.0,
35,2024-06-24,4,1,Shubra El-Kheima,Male,2024,6,24,22,2024-07-14,subscribed,MGf-702,,8,20,Griffin-Leblanc,2024,7,14,,,,1.0,,170.0
